match_status,match_type,chords_page,chords_title,chords_file,melody_page,melody_title,melody_file
both,exact,19,ANGRY,19_03_ANGRY.png,38,ANGRY,38_01_ANGRY.png
both,exact,20,ANNIE_LAURIE,20_01_ANNIE_LAURIE.png,38,ANNIE_LAURIE,38_02_ANNIE_LAURIE.png
both,exact,20,ANTHROPOLOGY,20_02_ANTHROPOLOGY.png,39,ANTHROPOLOGY,39_01_ANTHROPOLOGY.png
both,exact,20,ANYTHING_GOES,20_03_ANYTHING_GOES.png,39,ANYTHING_GOES,39_02_ANYTHING_GOES.png
both,exact,20,APEX_BLUES,20_04_APEX_BLUES.png,40,APEX_BLUES,40_01_APEX_BLUES.png
both,exact,21,APRIL_IN_PARIS,21_01_APRIL_IN_PARIS.png,40,APRIL_IN_PARIS,40_02_APRIL_IN_PARIS.png
both,exact,21,APRIL_SHOWERS,21_02_APRIL_SHOWERS.png,41,APRIL_SHOWERS,41_01_APRIL_SHOWERS.png
both,exact,21,ARKANSAS_BLUES,21_03_ARKANSAS_BLUES.png,41,ARKANSAS_BLUES,41_02_ARKANSAS_BLUES.png
both,exact,21,ASK_ME_NOW,21_04_ASK_ME_NOW.png,42,ASK_ME_NOW,42_01_ASK_ME_NOW.png
both,exact,22,AS_LONG_AS_I_LIVE,22_01_AS_LONG_AS_I_LIVE.png,42,AS_LONG_AS_I_LIVE,42_02_AS_LONG_AS_I_LIVE.png
both,exact,22,AS_TIME_GOES_BY,22_02_AS_TIME_GOES_BY.png,43,AS_TIME_GOES_BY,43_01_AS_TIME_GOES_BY.png
both,exact,22,AT_A_GEORGIA_CAMP_MEETING,22_03_AT_A_GEORGIA_CAMP_MEETING.png,43,AT_A_GEORGIA_CAMP_MEETING,43_02_AT_A_GEORGIA_CAMP_MEETING.png
both,exact,25,AVALON,25_03_AVALON.png,44,AVALON,44_01_AVALON.png
both,exact,26,AZURE,26_02_AZURE.png,44,AZURE,44_02_AZURE.png
both,exact,26,AIN_T_SHE_SWEET,26_03_AIN_T_SHE_SWEET.png,18,AINT_SHE_SWEET,18_01_AINT_SHE_SWEET.png
both,exact,27,BABY,27_01_BABY.png,45,BABY,45_01_BABY.png
both,exact,27,BABY_BROWN,27_02_BABY_BROWN.png,46,BABY_BROWN,46_01_BABY_BROWN.png
both,exact,27,BABY_FACE,27_03_BABY_FACE.png,47,BABY_FACE,47_01_BABY_FACE.png
both,exact,28,BABY_IT_S_COLD_OUTSIDE,28_01_BABY_IT_S_COLD_OUTSIDE.png,48,BABY_IT_S_COLD_OUTSIDE,48_01_BABY_IT_S_COLD_OUTSIDE.png
both,exact,28,BABY_WON_T_YOU_PLEASE_COME_HOME,28_02_BABY_WON_T_YOU_PLEASE_COME_HOME.png,46,BABY_WONT_YOU_PLEASE_COME_HOME,46_02_BABY_WONT_YOU_PLEASE_COME_HOME.png
both,exact,28,BACK_BAY_SHUFFLE,28_03_BACK_BAY_SHUFFLE.png,49,BACK_BAY_SHUFFLE,49_01_BACK_BAY_SHUFFLE.png
